tweet_id,hashtags
mar -2020,";salariosdignosinstitutospúblicos;escalafoninstitutospublicos;tablasalarialinstitutospúblicos;salariosdignosinstitutospublicos;escalafoninstitutospublicos;tablasalarialinstitutospúblicos
;salariosdignosinstitutospúblicos;escalafoninstitutospublicos;tablasalarialinstitutospúblicos;salariosdignosinstitutospublicos;escalafoninstitutospublicos;tablasalarialinstitutospúblicos"
dic -2020,;inapapers;pandorapapers
abr -2021,;recuperaremoslapatria
oct -2020,musica;;;felizcumpleandres;arauzpresidente2021
mar -2021,"obras

;lassonosrobaotravez;;;ecuarauz"
ago -2020,;todosconlasso;encontremonosparalograrlo;encontremonosparalograrlo;todosconlasso
ago -2020,";constituciondevida
;encontremonosendemocracia
;;constituciondevida
;encontremonosendemocracia
;;constituciondevida
;encontremonosendemocracia
;constituciondevida
;encontremonosendemocracia
;;constituciondevida
;encontremonosendemocracia
;corteconstecu;;;constituciondevida
;encontremonosendemocracia
;;constituciondevida
;encontremonosendemocracia
;;encontremonosendemocracia
;ecuadoresprovida
vida;;;ecuadoresprovida
vida;;;ecuadoresprovida
provida;;;ecuadoresprovida
;asambleaecuador;;;ecuadoresprovida
vida;;;ecuadoresprovida
vida;;;ecuadoresprovida
voz;;;ecuadoresprovida
amor;;;ecuadoresprovidahumanidad;;;ecuadoresprovidapadres;;;ecuadoresprovidavida;;;ecuadoresprovidaculpa;;;ecuadoresprovidaalma;;;ecuadoresprovida
provida;;;ecuadoresprovida
"
nov -2020,;lassoesmoreno
may -2020,;lassoesmoreno;lassoesmoreno;;;pametroya
abr -2020,"país
;andresnomientasotravezpaís
;andresnomientasotravez
;reddetuiterosdemocraticos"
nov -2020,";vacunagate;vacunadosvip;creo;clubrotario;lassonuncaserapresidente;;rumbo;elecciones2021;ecuador;guayaquil;creo
;borregodatecuenta"
ago -2020,";encontremonosendemocracia;lenin
;constituciondevida;encontremonosendemocracia
;constituciondevida;encontremonosendemocracia;constituciondevida;;losdemocracia📣📣
;encontremonosendemocracia;constituciondevida
;;encontremonosendemocracia;constituciondevida
;constituciondevida
;ecuadoresprovida
;corteconstecu;encontremonosendemocracia;lenin
;constituciondevida;encontremonosendemocracia
;constituciondevida;encontremonosendemocracia;constituciondevida;;losdemocracia📣📣
;encontremonosendemocracia;constituciondevida
;;ecuadoresprovida
;constituciondevida
;ecuadoresprovida
;corteconstecu"
feb -2021,";lassoindígena;lassonuncaserapresidente;;;ecuainm;oficial;lassonuncaserapresidente;lassoesmoreno;lassoesferiadobancario;pautas;;;vegaluos;lassonuncaserapresidente;machas;vacunadosvip;lassonuncaserapresidente;lassoesmoreno;lassoyaestavacunado;lassoesmoreno;lassonuncaserapresidentebye
;cuandoelodioestabademoda;prohibidoolvidar;socialismoescorrupcion;esmeraldas;;;gpepropiedades;trolldelasso;chulquero;chulquero;lassoesmoreno;vivalalibertaddeexpresion;nomatenalpueblo;paraisofiscal;paisdelencuentro;;;omaridrovo"
abr -2021,;sonrisacorega;;;uncafeconjj
jul -2020,;lassoesmoreno;lassonuncaserapresidente;lassoesferiadobancario;soy;prohibidoolvidar
abr -2020,";debatepresidencialecuador;armandoromerorodas;negrabombon;;;isimpjustice;lassopresidente2021
;lassopresidente2021

;leloestasperdido
;nuncamaspillosgobernando
;socialismosxxiesmuerte
;carcelparaloscorruptos
;devuelvanlorobado
;delincuentesdecuelloblanco
;prohibidoolvidar
;ladecadarobada
;cuandoelodioestabademoda"
oct -2020,"👍👍
;lassopresidente;odiarte;rankingradiodisney;rankingrd;prensacorrupta;prensavendida"
mar -2021,;presocorreapreso;;
dic -2020,;votatodoid12
mar -2020,";elodioyapasodemoda
;ecuarauz;elodioyapasodemoda
;ecuarauz"
nov -2019,;lassoesmoreno;vacunadosgold
abr -2020,";gobiernocriminalycorrupto
por;gobiernodedelincuentes;gobiernocriminalycorrupto;lassoesmoreno;lassonuncaserapresidente"
abr -2020,"país
;estamosconyacu
;transparenciacne"
jul -2021,;petro
feb -2021,;lassomiente
feb -2021,;elbinomiodelaesperanza;contigocontodosahora;arauznomientasotravez;;;villotarebeca
feb -2021,;prohibidoolvidar;vacunasvip;vacunadosgold
mar -2020,;arauzymorenosoncorrea
mar -2020,;justiciamsp
